study_name,study_year,study,group,design,age,percent_males,trained_state,homol_heterol,fatigued_muscle,fatgued_limb,rel_load,abs_load,tul,sets_tul,setsXtul,rel_loadXsetsXtul,reps,sets_reps,setsXreps,rel_loadXsetsXreps,max_effort,tested_muscle,test_upper_lower,outcome_measure,outcome_type,IF_E_>75s,time_post_test,first_post,post_only,control_cond,m_preCON,m_postCON,sd_preCON,sd_postCON,niCON,m_preFAT,m_postFAT,sd_preFAT,sd_postFAT,niFAT,Notes
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,heterologous,Knee Extensors,dominant,40,,163,1,163,6520,27.2,1,27.2,1088,Y,Handgrip (right),U,MVC (isometric),S,N,172800,N,N,N,,,,,,48.8,50.1,5.4,7.5,11,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,heterologous,Knee Extensors,dominant,40,,163,1,163,6520,27.2,1,27.2,1088,Y,Handgrip (lElbow Flexorst),U,MVC (isometric),S,N,0,Y,N,N,,,,,,48.1,47.6,8.3,6.6,11,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,heterologous,Knee Extensors,dominant,40,,163,1,163,6520,27.2,1,27.2,1088,Y,Handgrip (lElbow Flexorst),U,MVC (isometric),S,N,86400,N,N,N,,,,,,48.1,47.7,8.3,7.5,11,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,heterologous,Knee Extensors,dominant,40,,163,1,163,6520,27.2,1,27.2,1088,Y,Handgrip (lElbow Flexorst),U,MVC (isometric),S,N,172800,N,N,N,,,,,,48.1,48,8.3,8.5,11,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,homologous,Knee Extensors,dominant,80,,89.1,1.8,160.38,12830.4,14.8,1.8,26.64,2131.2,Y,Knee Extensors,L,MVC (isometric),S,N,0,Y,N,N,,,,,,18895,18943,5025,4818,11,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,homologous,Knee Extensors,dominant,80,,89.1,1.8,160.38,12830.4,14.8,1.8,26.64,2131.2,Y,Knee Extensors,L,MVC (isometric),S,N,86400,N,N,N,,,,,,18895,18740,5025,5214,11,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,homologous,Knee Extensors,dominant,80,,89.1,1.8,160.38,12830.4,14.8,1.8,26.64,2131.2,Y,Knee Extensors,L,MVC (isometric),S,N,172800,N,N,N,,,,,,18895,18798,5025,5317,11,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,heterologous,Knee Extensors,dominant,80,,89.1,1.8,160.38,12830.4,14.8,1.8,26.64,2131.2,Y,Handgrip (right),U,MVC (isometric),S,N,0,Y,N,N,,,,,,50.5,50.8,6.6,6.5,11,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,heterologous,Knee Extensors,dominant,80,,89.1,1.8,160.38,12830.4,14.8,1.8,26.64,2131.2,Y,Handgrip (right),U,MVC (isometric),S,N,86400,N,N,N,,,,,,50.5,49.9,6.6,6.6,11,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,heterologous,Knee Extensors,dominant,80,,89.1,1.8,160.38,12830.4,14.8,1.8,26.64,2131.2,Y,Handgrip (right),U,MVC (isometric),S,N,172800,N,N,N,,,,,,50.5,49.9,6.6,6.7,11,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,heterologous,Knee Extensors,dominant,80,,89.1,1.8,160.38,12830.4,14.8,1.8,26.64,2131.2,Y,Handgrip (lElbow Flexorst),U,MVC (isometric),S,N,0,Y,N,N,,,,,,49.5,48.1,8.7,6.8,11,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,heterologous,Knee Extensors,dominant,80,,89.1,1.8,160.38,12830.4,14.8,1.8,26.64,2131.2,Y,Handgrip (lElbow Flexorst),U,MVC (isometric),S,N,86400,N,N,N,,,,,,49.5,47.3,8.7,7,11,
"Farrow et al., (2020)",2020,11,13,within,24.8,100,T,heterologous,Knee Extensors,dominant,80,,89.1,1.8,160.38,12830.4,14.8,1.8,26.64,2131.2,Y,Handgrip (lElbow Flexorst),U,MVC (isometric),S,N,172800,N,N,N,,,,,,49.5,49.6,8.7,8.3,11,
"Grabiner and Owings, (1999)",1999,12,14,within,24,83,RA,homologous,Knee Extensors (concentric),right,100,,,,,,25,3,75,7500,Y,Knee Extensors,L,MVC (concentric),S,N,0,Y,N,N,,,,,,136,137,58,60,6,
"Grabiner and Owings, (1999)",1999,12,14,within,24,83,RA,homologous,Knee Extensors (eccentric),right,100,,,,,,25,3,75,7500,Y,Knee Extensors,L,MVC (eccentric),S,N,0,Y,N,N,,,,,,179,198,37,37,6,
"Hamilton and Behm, (2017) - Known end-point",2017,13,15,within,22.4,100,T,homologous,Knee Extensors,dominant,100,,100,2,200,20000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,0,Y,N,Y,55.21,47.51,13.76,12.7,15,54.25,46.69,14.12,12.51,15,
"Hamilton and Behm, (2017) - Unknown end-point",2017,13,15,within,22.4,100,T,homologous,Knee Extensors,dominant,100,,100,2,200,20000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,0,Y,N,Y,55.13,46.87,12.73,14.45,15,51.79,41.99,12.21,10.03,15,
"Hamilton and Behm, (2017) - Unknown end-point",2017,13,15,within,22.4,100,T,homologous,Knee Extensors,dominant,100,,100,2,200,20000,,,,,Y,Knee Extensors,L,MVC (isometric) until task failure of 60% MVC - (post only),E,N,5,N,Y,Y,,43.83,,11.5,15,,42.05,,5.3,15,
"Humphry et al., (2004)",2004,14,16,within,20,100,RA,homologous,Elbow Flexors,right,,3.5 kg,,1,,,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,330,Y,N,N,,,,,,100.3,103.4,2.2,12.49,6,
"Humphry et al., (2004)",2004,14,16,within,20,100,RA,homologous,Elbow Flexors,right,,3.5 kg,,1,,,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,1320,N,N,N,,,,,,100.3,102,2.2,12,6,
"Humphry et al., (2004)",2004,14,16,within,20,100,RA,heterologous,Elbow Flexors,right,,3.5 kg,,1,,,,,,,Y,Handgrip,U,MVC (isometric),S,N,390,Y,N,N,,,,,,100.4,91.5,4.41,6.86,6,
"Humphry et al., (2004)",2004,14,16,within,20,100,RA,heterologous,Elbow Flexors,right,,3.5 kg,,1,,,,,,,Y,Handgrip,U,MVC (isometric),S,N,1380,N,N,N,,,,,,100.4,88.2,4.41,5.39,6,
"Kavanagh et al., (2016)",2016,15,17,within,24,83,RA,homologous,First Doral Interosseous,dominant,100,,4,1,4,400,,,,,Y,First Dorsal Interosseous,U,MVC (isometric),S,N,0,Y,N,N,,,,,,0.61,2.66,0.22,1.87,12,
"Kavanagh et al., (2016)",2016,15,17,within,24,83,RA,homologous,First Doral Interosseous,dominant,100,,16,1,16,1600,,,,,Y,First Dorsal Interosseous,U,MVC (isometric),S,N,0,Y,N,N,,,,,,24.98,21.7,3.57,3.72,12,
"Kavanagh et al., (2016)",2016,15,17,within,24,83,RA,homologous,First Doral Interosseous,dominant,100,,16,2,32,3200,,,,,Y,First Dorsal Interosseous,U,MVC (isometric),S,N,0,Y,N,N,,,,,,24.98,18.77,3.57,2.83,12,
"Kavanagh et al., (2016)",2016,15,17,within,24,83,RA,homologous,First Doral Interosseous,dominant,100,,16,3,48,4800,,,,,Y,First Dorsal Interosseous,U,MVC (isometric),S,N,0,Y,N,N,,,,,,24.98,20.1,3.57,4.18,12,
"Kavanagh et al., (2016)",2016,15,17,within,24,83,RA,homologous,First Doral Interosseous,dominant,100,,16,4,64,6400,,,,,Y,First Dorsal Interosseous,U,MVC (isometric),S,N,0,Y,N,N,,,,,,24.98,20.02,3.57,3.69,12,
"Kavanagh et al., (2016)",2016,15,17,within,24,83,RA,homologous,First Doral Interosseous,dominant,100,,16,5,80,8000,,,,,Y,First Dorsal Interosseous,U,MVC (isometric),S,N,0,Y,N,N,,,,,,24.98,19.52,3.57,4.66,12,
"Kavanagh et al., (2016)",2016,15,17,within,24,83,RA,homologous,First Doral Interosseous,dominant,100,,16,6,96,9600,,,,,Y,First Dorsal Interosseous,U,MVC (isometric),S,N,0,Y,N,N,,,,,,24.98,19.2,3.57,3.81,12,
"Kavanagh et al., (2016)",2016,15,17,within,24,83,RA,homologous,First Doral Interosseous,dominant,100,,16,9,144,14400,,,,,Y,First Dorsal Interosseous,U,MVC (isometric),S,N,0,Y,N,N,,,,,,24.98,17.38,3.57,3.75,12,
"Kawamoto et al., (2014)",2014,16,18,within,30,100,RA,homologous,Knee Extensors,dominant,40,,26,4,104,4160,13,4,52,2080,Y,Knee Extensors,L,MVC (isometric),S,N,0,Y,N,Y,73.13,72.77,12.99,1.65,12,74.68,71.35,11.55,10.93,12,
"Kawamoto et al., (2014)",2014,16,18,within,30,100,RA,homologous,Knee Extensors,dominant,40,,26,4,104,4160,13,4,52,2080,Y,Knee Extensors,L,MVC (F100),S,N,0,Y,N,Y,31.42,29.51,3.72,9.48,12,31.82,24.36,6.12,6.37,12,
"Kawamoto et al., (2014)",2014,16,18,within,30,100,RA,homologous,Knee Extensors,dominant,40,,26,4,104,4160,13,4,52,2080,Y,Knee Extensors,L,70% Baseline MVC to Task Failure (post only),E,N,0,Y,Y,Y,,36.21,,39.7,12,,35.26,,34.71,12,
"Kawamoto et al., (2014)",2014,16,18,within,30,100,RA,homologous,Knee Extensors,dominant,70,,12,4,48,3360,6,4,24,1680,Y,Knee Extensors,L,MVC (isometric),S,N,0,Y,N,Y,73.13,72.77,12.99,1.65,12,73.31,68.31,13.2,22.27,12,
"Kawamoto et al., (2014)",2014,16,18,within,30,100,RA,homologous,Knee Extensors,dominant,70,,12,4,48,3360,6,4,24,1680,Y,Knee Extensors,L,MVC (F100),S,N,0,Y,N,Y,31.42,29.51,3.72,9.48,12,34.09,22.22,8.67,10.31,12,
"Kawamoto et al., (2014)",2014,16,18,within,30,100,RA,homologous,Knee Extensors,dominant,70,,12,4,48,3360,6,4,24,1680,Y,Knee Extensors,L,70% Baseline MVC to Task Failure (post only),E,N,0,Y,Y,Y,,36.21,,39.7,12,,33,,32.87,12,
"Martin and Rattey, (2007) - Males",2007,17,19,within,21,100,RA,homologous,Knee Extensors,dominant,100,,100,1,100,10000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,20,Y,N,N,,,,,,439.09,379.6,48.72,50.59,7,
"Martin and Rattey, (2007) - Males",2007,17,19,within,21,100,RA,homologous,Knee Extensors,dominant,100,,100,1,100,10000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,50,N,N,N,,,,,,439.09,377.48,48.72,54.34,7,
"Martin and Rattey, (2007) - Males",2007,17,19,within,21,100,RA,homologous,Knee Extensors,dominant,100,,100,1,100,10000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,80,N,N,N,,,,,,439.09,382.44,48.72,44.97,7,
"Martin and Rattey, (2007) - Males",2007,17,19,within,21,100,RA,homologous,Knee Extensors,dominant,100,,100,1,100,10000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,110,N,N,N,,,,,,439.09,398.73,48.72,65.58,7,
"Martin and Rattey, (2007) - Females",2007,17,20,within,21.1,0,RA,homologous,Knee Extensors,dominant,100,,100,1,100,10000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,20,Y,N,N,,,,,,308.78,283.29,40.06,46.07,8,
"Martin and Rattey, (2007) - Females",2007,17,20,within,21.1,0,RA,homologous,Knee Extensors,dominant,100,,100,1,100,10000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,50,N,N,N,,,,,,308.78,285.41,40.06,40.06,8,
"Martin and Rattey, (2007) - Females",2007,17,20,within,21.1,0,RA,homologous,Knee Extensors,dominant,100,,100,1,100,10000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,80,N,N,N,,,,,,308.78,285.41,40.06,38.06,8,
"Martin and Rattey, (2007) - Females",2007,17,20,within,21.1,0,RA,homologous,Knee Extensors,dominant,100,,100,1,100,10000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,110,N,N,N,,,,,,308.78,296.74,40.06,52.08,8,
"Morgan et al., (2019) - Placebo",2019,18,21,within,23.8,100,RA,homologous,Knee Extensors,left,80,,396,1,396,31680,,,,,Y,Knee Extensors,L,80% Peak Work Rate Dynamic Knee Extension to Task Failure (post only),E,Y,3,Y,Y,Y,,385,,104,14,,311,,92,14,Control condition SD is correct in text - confirmed by authors
"Morgan et al., (2019) - Acetaminophen",2019,18,21,within,23.8,100,RA,homologous,Knee Extensors,left,80,,396,1,396,31680,,,,,Y,Knee Extensors,L,80% Peak Work Rate Dynamic Knee Extension to Task Failure (post only),E,Y,3,Y,Y,Y,,385,,104,14,,324,,85,14,
"Pethick et al., (2019) ",2018,19,22,within,23.9,55,RA,homologous,Knee Extensors,left,50,,282,1,282,14100,,,,,Y,Knee Extensors,L,50% Baseline MVC Intermittent Isometric Knee Extension to Task Failure (post only),E,Y,60,Y,Y,Y,,282,,162,9,,228,,138,9,
"Pethick et al., (2019) ",2018,19,22,within,23.9,55,RA,homologous,Knee Extensors,left,51,,282,2,564,28764,,,,,Y,Knee Extensors,L,50% Baseline MVC Intermittent Isometric Knee Extension to Task Failure (post only),E,Y,60,Y,Y,Y,,282,,162,9,,234,,84,9,
